sample,top_accuracy,truth_retention_rate,agreement_with_baseline,mean_entropy,mean_frontier_width,rescue_tolerance,support_generic,support_explicit,support_inferred,evidence_coverage_weight,predictive_adequacy_weight,compression_utility_weight,compositional_sharpness_weight,stability_weight,alignment_weight
Sample 1,0.98,1,1,0.073,4.105,0.0709,0.2742,1,0.9114,0.24433299899699099,0.2791374122367101,0.12166499498495487,0.12266800401203612,0.1637913741223671,0.06840521564694083
Sample 2,0.98,1,1,0.08,4.118,0.0854,0.2764,1,0.5829,0.2187946301056841,0.262115586023041,0.05807864419689612,0.18309054555841187,0.15033799866704753,0.12758259544891937
Sample 3,0.98,1,1,0.049,4.046,0.0289,0.2218,1,0.5589,0.2097829178121149,0.278130628495592,0.09688122096881222,0.16949473883780453,0.14721774575789173,0.09849274812778464
Sample 4,0.98,1,1,0.049,4.052,0.0409,0.2663,1,0.7151,0.2538932146829811,0.2834631071560994,0.06720430107526881,0.14794215795328142,0.14219503151649981,0.10530218761586949
Sample 5,0.98,1,1,0.064,4.085,0.0706,0.197,1,0.8522,0.23072258716523497,0.3169277412834765,0.1033855482566953,0.1438100050530571,0.11975745325922182,0.0853966649823143
Sample 6,0.98,1,1,0.048,4.052,0.0302,0.3522,1,0.6239,0.22333069932832872,0.28269458711971557,0.1360134334255235,0.13542078229948637,0.14687870406953774,0.07566179375740814
Sample 7,0.98,1,1,0.049,4.059,0.0492,0.3888,1,0.6739,0.25335416283771367,0.2721926116522698,0.061845249035103834,0.1530968571953685,0.13756662378239293,0.12194449549715126
Sample 8,0.98,1,1,0.049,4.059,0.0531,0.371,1,0.4993,0.19437866776485122,0.2905384536188613,0.10254298363018634,0.19540821579326675,0.13775352620199732,0.07937815299083702
Sample 9,0.98,1,1,0.12,4.183,0.0922,0.2461,1,0.7893,0.16267262388302195,0.30584890333062553,0.09697400487408611,0.19648659626320064,0.11372867587327376,0.12428919577579203
Sample 10,0.98,1,1,0.049,4.052,0.0476,0.3141,1,0.7648,0.25760554151455584,0.2269025554619489,0.08518206496302537,0.18646447627071047,0.11410652438453617,0.12973883740522324
Sample 11,0.98,1,1,0.049,4.046,0.0292,0.2245,1,0.5604,0.19683106449453244,0.32593171167150187,0.0883731309975452,0.13445659451015396,0.17462619950903813,0.07978129881722829
Sample 12,0.98,1,1,0.064,4.092,0.073,0.2466,1,0.5579,0.26547402659523583,0.2522720750023916,0.12159188749641249,0.12044389170573042,0.11259925380273604,0.1276188653974935
Sample 13,0.98,1,1,0.144,4.248,0.0981,0.3137,1,0.9122,0.24709329804329333,0.2900085074203611,0.08261650439550051,0.14528783438888362,0.16277530957557423,0.07221854617638718
Sample 14,0.98,1,1,0.098,4.144,0.0965,0.2552,1,0.7802,0.19769484083424807,0.2713501646542261,0.10406147091108671,0.19934138309549945,0.14390779363336992,0.0836443468715697
Sample 15,0.98,1,1,0.049,4.052,0.0347,0.2951,1,0.4925,0.25657272555324384,0.28806506525439757,0.061944391904671846,0.17353886892377532,0.09608473614526197,0.12379421221864952
Sample 16,0.98,1,1,0.049,4.046,0.0365,0.1846,1,0.7816,0.25636942675159236,0.2691082802547771,0.10236578707916288,0.1412647861692448,0.11499090081892631,0.11590081892629665
Sample 17,0.98,1,1,0.115,4.176,0.093,0.3463,1,0.7876,0.24984152857013495,0.2965679616046365,0.09508285791904375,0.17830299737390204,0.09109843339672191,0.089106221135561
Sample 18,0.98,1,1,0.049,4.046,0.0462,0.2275,1,0.7689,0.16811712910822157,0.2791031022831985,0.121941230674721,0.17948192894440465,0.12511518378212347,0.1262414252073308
Sample 19,0.98,1,1,0.081,4.118,0.0746,0.3442,1,0.8482,0.1884495698334249,0.29535053999633903,0.11916529379461838,0.17270730367929713,0.1468057843675636,0.07752150832875711
Sample 20,0.98,1,1,0.049,4.059,0.0494,0.3742,1,0.4851,0.2366142098891889,0.2899711332526306,0.08036129993481701,0.1826054567464382,0.09321165844119562,0.1172362417357296
Sample 21,0.98,1,1,0.049,4.052,0.029,0.3316,1,0.6526,0.22827971489115775,0.3118859564631092,0.06434213061067232,0.16605663648622615,0.13224812174918127,0.09718743979965325
Sample 22,0.98,1,1,0.049,4.046,0.0471,0.1874,1,0.6278,0.21871225494750535,0.28607265632258666,0.08389854129889436,0.18470686611539533,0.10573260243426554,0.12087707888135277
Sample 23,0.98,1,1,0.105,4.157,0.0928,0.309,1,0.647,0.23339607421349828,0.24863314511069284,0.12494398135699561,0.17692928206507127,0.1378506767052075,0.07824684054853456
Sample 24,0.98,1,1,0.049,4.046,0.0533,0.2163,1,0.6462,0.24834315169366714,0.27457658321060385,0.07087628865979381,0.16338365243004416,0.12067378497790868,0.12214653902798234
