condition_id,question_policy,budget,trace_count,final_accuracy,truth_retention_rate,mean_entropy,mean_questions_used,mean_information_gain,mean_entropy_reduction_per_question,harmful_question_rate,rescued_from_wrong_rate
clean-gold,information-gain,0,68,0.971,1,0.116,0,0,0,0,0
clean-gold,information-gain,1,68,0.971,1,0.041,0.088,0.078,0.075,0,0
clean-gold,information-gain,2,68,1,1,0.057,0.118,0.078,0.064,0,1
clean-gold,information-gain,3,68,1,1,0.019,0.147,0.078,0.078,0,1
clean-gold,random,0,68,0.971,1,0.116,0,0,0,0,0
clean-gold,random,1,68,0.971,1,0.057,0.088,0.065,0.059,0,0
clean-gold,random,2,68,0.985,1,0.049,0.132,0.067,0.055,0,0.5
clean-gold,random,3,68,1,1,0.042,0.176,0.066,0.054,0,1
clean-gold,top-domain,0,68,0.971,1,0.116,0,0,0,0,0
clean-gold,top-domain,1,68,0.971,1,0.041,0.088,0.078,0.075,0,0
clean-gold,top-domain,2,68,1,1,0.057,0.118,0.078,0.064,0,1
clean-gold,top-domain,3,68,1,1,0.019,0.147,0.078,0.078,0,1
masked-adversarial,information-gain,0,68,0.5,0.897,1.107,0,0,0,0,0
masked-adversarial,information-gain,1,68,0.353,0.353,0.32,0.647,0.631,0.787,0.647,0
masked-adversarial,information-gain,2,68,0.353,0.353,0.3,0.897,0.634,0.747,0.574,0
masked-adversarial,information-gain,3,68,0.353,0.412,0.3,1.074,0.629,0.747,0.549,0
masked-adversarial,random,0,68,0.5,0.897,1.107,0,0,0,0,0
masked-adversarial,random,1,68,0.353,0.397,0.473,0.647,0.497,0.634,0.603,0
masked-adversarial,random,2,68,0.353,0.397,0.392,1.074,0.546,0.535,0.544,0
masked-adversarial,random,3,68,0.353,0.382,0.376,1.426,0.543,0.5,0.51,0
masked-adversarial,top-domain,0,68,0.5,0.897,1.107,0,0,0,0,0
masked-adversarial,top-domain,1,68,0.353,0.353,0.32,0.647,0.631,0.787,0.647,0
masked-adversarial,top-domain,2,68,0.353,0.353,0.3,0.897,0.634,0.747,0.574,0
masked-adversarial,top-domain,3,68,0.353,0.412,0.3,1.074,0.629,0.747,0.549,0
masked-noisy,information-gain,0,68,0.5,0.897,1.107,0,0,0,0,0
masked-noisy,information-gain,1,68,0.647,0.838,0.628,0.647,0.631,0.479,0.162,0.294
masked-noisy,information-gain,2,68,0.691,0.824,0.534,1.088,0.633,0.457,0.154,0.382
masked-noisy,information-gain,3,68,0.691,0.809,0.427,1.456,0.615,0.473,0.154,0.382
masked-noisy,random,0,68,0.5,0.897,1.107,0,0,0,0,0
masked-noisy,random,1,68,0.618,0.779,0.61,0.647,0.534,0.497,0.221,0.265
masked-noisy,random,2,68,0.588,0.706,0.498,1.132,0.557,0.442,0.243,0.235
masked-noisy,random,3,68,0.574,0.706,0.356,1.5,0.543,0.465,0.25,0.206
masked-noisy,top-domain,0,68,0.5,0.897,1.107,0,0,0,0,0
masked-noisy,top-domain,1,68,0.574,0.676,0.452,0.647,0.631,0.655,0.324,0.235
masked-noisy,top-domain,2,68,0.603,0.676,0.408,0.971,0.633,0.625,0.294,0.294
masked-noisy,top-domain,3,68,0.603,0.706,0.343,1.265,0.616,0.629,0.279,0.294
